_id,aqi,temperature,humidity,pm2_5,pm10,timestamp,dataSource,location,__v,location.latitude,location.longitude
69b26dd5038302abb38094c4,70,31.6,49.0,21,26,2026-03-12T07:40:05.884Z,real,,0,23.0647285,72.4390715
69b26dda038302abb38094c6,84,31.6,49.0,28,28,2026-03-12T07:40:10.937Z,real,,0,23.0647285,72.4390715
69b26ddf038302abb38094c8,97,31.6,50.4,34,34,2026-03-12T07:40:15.848Z,real,,0,23.0647285,72.4390715
69b26de4038302abb38094ca,99,31.5,50.3,35,39,2026-03-12T07:40:20.977Z,real,,0,23.0647285,72.4390715
69b26dfb038302abb38094cc,0,31.5,49.1,0,0,2026-03-12T07:40:43.519Z,real,,0,23.0647285,72.4390715
69b26dfb038302abb38094ce,0,31.5,49.1,0,0,2026-03-12T07:40:43.549Z,real,,0,23.0647285,72.4390715
69b26dfb038302abb38094d0,0,31.5,49.1,0,0,2026-03-12T07:40:43.590Z,real,,0,23.0647285,72.4390715
69b26dfd038302abb38094d2,68,31.5,49.1,20,20,2026-03-12T07:40:45.974Z,real,,0,23.0647285,72.4390715
69b26e02038302abb38094d4,84,31.5,50.4,28,28,2026-03-12T07:40:50.905Z,real,,0,23.0647285,72.4390715
69b26e08038302abb38094d6,91,31.5,50.4,31,34,2026-03-12T07:40:56.195Z,real,,0,23.0647285,72.4390715
69b26e0c038302abb38094d8,74,31.5,50.4,23,23,2026-03-12T07:41:00.913Z,real,,0,23.0647285,72.4390715
69b26e12038302abb38094da,74,31.4,50.5,23,23,2026-03-12T07:41:06.022Z,real,,0,23.0647285,72.4390715
69b26e16038302abb38094dc,74,31.5,50.5,23,23,2026-03-12T07:41:10.960Z,real,,0,23.0647285,72.4390715
69b26e1c038302abb38094de,76,31.4,50.5,24,24,2026-03-12T07:41:16.016Z,real,,0,23.0647285,72.4390715
69b26e20038302abb38094e0,76,31.4,51.2,24,24,2026-03-12T07:41:20.996Z,real,,0,23.0647285,72.4390715
69b26e26038302abb38094e2,76,31.4,51.1,24,24,2026-03-12T07:41:26.010Z,real,,0,23.0647285,72.4390715
69b26e2b038302abb38094e4,78,31.4,51.4,25,25,2026-03-12T07:41:31.121Z,real,,0,23.0647285,72.4390715
69b26e2f038302abb38094e6,78,31.4,49.5,25,25,2026-03-12T07:41:35.932Z,real,,0,23.0647285,72.4390715
69b26e34038302abb38094e8,80,31.3,48.3,26,26,2026-03-12T07:41:40.857Z,real,,0,23.0647285,72.4390715
69b26e39038302abb38094ea,80,31.3,48.2,26,26,2026-03-12T07:41:45.981Z,real,,0,23.0647285,72.4390715
69b26e3e038302abb38094ec,80,31.4,48.7,26,26,2026-03-12T07:41:50.874Z,real,,0,23.0647285,72.4390715
69b26e44038302abb38094ee,80,31.4,48.8,26,26,2026-03-12T07:41:56.018Z,real,,0,23.0647285,72.4390715
69b26e48038302abb38094f0,80,31.5,47.8,26,26,2026-03-12T07:42:00.912Z,real,,0,23.0647285,72.4390715
69b26e4d038302abb38094f2,80,32.1,47.5,26,26,2026-03-12T07:42:05.834Z,real,,0,23.0647285,72.4390715
69b26e52038302abb38094f4,80,32.7,48.1,26,26,2026-03-12T07:42:10.963Z,real,,0,23.0647285,72.4390715
69b26e58038302abb38094f6,80,32.6,48.7,26,26,2026-03-12T07:42:16.070Z,real,,0,23.0647285,72.4390715
69b26e5c038302abb38094f8,80,33.0,48.7,26,26,2026-03-12T07:42:20.995Z,real,,0,23.0647285,72.4390715
69b26e61038302abb38094fa,80,33.4,48.9,26,26,2026-03-12T07:42:25.915Z,real,,0,23.0647285,72.4390715
69b26e66038302abb38094fc,80,33.6,47.9,26,26,2026-03-12T07:42:30.826Z,real,,0,23.0647285,72.4390715
69b26e6b038302abb38094fe,80,33.6,47.4,26,26,2026-03-12T07:42:35.946Z,real,,0,23.0647285,72.4390715
69b26e70038302abb3809500,80,33.7,46.3,26,26,2026-03-12T07:42:40.846Z,real,,0,23.0647285,72.4390715
69b26e76038302abb3809502,80,33.9,45.5,26,26,2026-03-12T07:42:46.337Z,real,,0,23.0647285,72.4390715
69b26e7a038302abb3809504,80,34.0,45.2,26,26,2026-03-12T07:42:50.934Z,real,,0,23.0647285,72.4390715
69b26e80038302abb3809506,80,34.1,45.5,26,26,2026-03-12T07:42:56.061Z,real,,0,23.0647285,72.4390715
